id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id
sdv-id-rTKRMt,2,2006-03-25 02:41:49,2006-04-02 02:10:39,48,8,,
sdv-id-TTFzpQ,1,2006-03-22 21:10:30,2006-03-26 06:35:42,80,45,,
sdv-id-nqKeXH,2,2006-03-22 20:47:57,2006-03-22 16:02:28,48,56,,
sdv-id-xgGUmh,1,2006-03-23 18:22:26,2006-03-28 10:55:08,72,20,,
sdv-id-IxdrGd,2,2006-03-24 18:47:56,2006-04-04 07:15:35,66,197,,
sdv-id-VqrRdD,2,2006-03-22 16:25:58,2006-03-24 06:25:10,48,44,,
sdv-id-FunBtO,2,2006-03-22 23:50:17,2006-03-25 14:58:20,8,27,,
sdv-id-umeHRj,1,2006-03-24 05:19:39,2006-03-28 22:09:37,1,32,,
sdv-id-gUZCML,1,2006-03-23 18:30:05,2006-03-28 01:07:07,65,54,,
sdv-id-PgzvLu,3,2006-03-26 14:40:35,2006-04-05 14:31:47,7,3,,
sdv-id-UwCoLC,1,2006-03-22 17:04:00,2006-03-26 15:04:04,7,174,,
sdv-id-EPwGxg,2,2006-03-24 17:09:11,2006-04-04 01:57:44,7,153,,
sdv-id-BHlwQy,1,2006-03-22 17:03:17,2006-03-22 16:02:28,51,126,,
sdv-id-jZjCUY,1,2006-03-22 18:04:13,2006-03-23 02:45:55,7,35,,
sdv-id-RbwONM,1,2006-03-22 22:43:10,2006-03-25 20:44:34,72,91,,
sdv-id-mSUoov,1,2006-03-23 00:01:21,2006-03-22 16:02:28,4,20,,
sdv-id-BElRVo,2,2006-03-29 10:00:08,2006-04-03 07:21:39,19,3,,
sdv-id-TspKgb,2,2006-04-01 14:17:58,2006-03-30 19:58:34,74,5,,
sdv-id-JAFFyv,3,2006-03-25 21:40:57,2006-03-29 19:59:12,43,33,,
sdv-id-eUxumM,1,2006-03-23 00:21:09,2006-03-26 14:06:00,72,85,,
sdv-id-RKSgba,2,2006-03-27 19:36:17,2006-04-09 20:43:45,43,86,,
sdv-id-KuGfnV,2,2006-03-22 22:08:52,2006-03-22 16:02:28,74,117,,
sdv-id-TBsvGR,1,2006-03-22 16:16:14,2006-03-24 10:15:30,80,35,,
sdv-id-tEZKuc,2,2006-03-25 17:02:24,2006-03-31 07:16:11,80,23,,
sdv-id-kOzbVu,2,2006-03-24 16:03:02,2006-03-25 08:43:39,8,43,,
sdv-id-dqFlfv,3,2006-03-25 06:58:01,2006-04-02 09:46:47,72,51,,
sdv-id-nAgACb,2,2006-03-26 07:42:11,2006-04-08 00:04:31,17,37,,
sdv-id-NEtrsG,2,2006-03-23 05:56:12,2006-03-28 02:16:15,81,16,,
sdv-id-hiYvUt,1,2006-03-26 06:42:00,2006-04-02 08:16:01,81,280,,
sdv-id-tOiDiq,2,2006-03-29 16:24:13,2006-04-08 09:24:55,43,77,,
sdv-id-uTTyZH,1,2006-03-22 17:11:49,2006-03-22 19:08:02,48,76,,
sdv-id-vQAXDd,2,2006-03-22 20:18:30,2006-03-23 23:35:50,41,32,,
sdv-id-YucHDS,1,2006-03-24 19:07:58,2006-04-05 11:47:01,52,100,,
sdv-id-bmTWyX,2,2006-03-26 21:16:38,2006-04-03 19:57:07,43,110,,
sdv-id-CutRig,1,2006-03-23 00:24:21,2006-03-27 00:22:08,34,151,,
sdv-id-UWiPMC,2,2006-03-22 16:10:09,2006-03-22 16:02:28,48,15,,
sdv-id-dudFBm,2,2006-03-24 21:20:12,2006-04-03 15:18:37,21,17,,
sdv-id-pXaycY,2,2006-03-22 16:11:57,2006-03-22 16:02:28,74,74,,
sdv-id-SryqWG,3,2006-03-23 00:55:19,2006-03-27 14:06:21,57,12,,
sdv-id-fTHApJ,1,2006-03-28 08:05:32,2006-04-03 22:27:04,5,119,,
sdv-id-VswjQE,2,2006-03-23 12:16:50,2006-03-24 12:35:06,81,147,,
sdv-id-nUsIiZ,2,2006-03-28 16:47:47,2006-04-09 00:04:22,19,103,,
sdv-id-cMKtYX,1,2006-03-23 18:21:41,2006-03-31 20:34:36,8,79,,
sdv-id-NTvdAa,2,2006-03-23 06:18:50,2006-03-29 07:01:55,80,8,,
sdv-id-CWyXmJ,2,2006-03-23 09:47:26,2006-03-28 22:46:57,20,50,,
sdv-id-HhLHaT,3,2006-03-24 15:58:33,2006-03-31 09:39:03,48,2,,
sdv-id-oUnMNP,1,2006-04-01 19:33:02,2006-04-04 01:10:19,34,245,,
sdv-id-KlRFGL,1,2006-03-22 23:58:38,2006-03-28 14:20:14,21,62,,
sdv-id-yKpPrL,2,2006-03-22 16:48:07,2006-03-22 16:02:28,21,34,,
sdv-id-LJAoli,1,2006-03-23 02:13:06,2006-03-23 15:48:04,3,52,,
sdv-id-pwgCHj,1,2006-03-28 04:49:36,2006-03-29 17:37:22,43,245,,
sdv-id-jJQTvC,2,2006-03-23 04:42:23,2006-03-28 20:08:08,80,14,,
sdv-id-zJpNmv,2,2006-03-25 20:55:10,2006-04-03 15:13:14,4,48,,
sdv-id-sjmOUg,1,2006-03-22 19:46:24,2006-03-31 01:25:49,51,8,,
sdv-id-JcJwKH,2,2006-03-27 14:18:27,2006-04-06 04:57:15,51,165,,
sdv-id-zEkEjR,2,2006-03-23 20:53:59,2006-03-27 23:22:50,48,45,,
sdv-id-ZovFnJ,2,2006-03-25 20:03:49,2006-04-01 07:28:17,81,140,,
sdv-id-ffHDyY,1,2006-03-26 13:42:12,2006-04-03 16:03:07,80,223,,
sdv-id-VOrzLl,2,2006-03-24 11:04:02,2006-03-30 01:47:37,6,26,,
sdv-id-GcLYzT,1,2006-03-22 17:09:37,2006-03-26 18:05:38,1,36,,
