id,order_id,product_id,quantity,unit_price,discount,status_id,purchase_order_id,inventory_id
sdv-id-QtbYMw,70,17,20.0,41.3,0.0,2,,129.0
sdv-id-JoEuig,42,1,39.0,44.11,0.0,2,,87.0
sdv-id-uxCZat,67,48,26.0,8.09,0.0,2,,132.0
sdv-id-lfSlhi,81,5,1.0,28.93,0.0,2,,
sdv-id-TZmlZE,72,8,0.0,10.4,0.0,2,,126.0
sdv-id-EWYJZp,46,41,0.0,6.11,0.0,2,,114.0
sdv-id-EicoGj,44,1,65.0,18.42,0.0,2,,91.0
sdv-id-xZLolN,40,8,108.0,7.68,0.0,2,,79.0
sdv-id-jdNpnT,36,80,127.0,5.79,0.0,2,,70.0
sdv-id-DQrnvn,32,43,115.0,31.26,0.0,2,,68.0
sdv-id-QIWpNm,81,3,9.0,11.7,0.0,2,,136.0
sdv-id-LAIDDZ,79,81,1.0,13.98,0.0,2,,123.0
sdv-id-llFxOj,78,41,117.0,4.42,0.0,2,,120.0
sdv-id-aRfkZm,56,8,248.0,30.14,0.0,2,,122.0
sdv-id-exLQqI,80,20,43.0,14.06,0.0,2,,136.0
sdv-id-bXFWAO,79,56,24.0,3.84,0.0,2,,95.0
sdv-id-OqCvvu,63,3,120.0,44.97,0.0,2,,134.0
sdv-id-eZodGP,42,80,27.0,58.38,0.0,2,,85.0
sdv-id-PJskXJ,50,41,2.0,35.47,0.0,2,,94.0
sdv-id-aTfDmL,81,40,68.0,39.34,0.0,2,,
sdv-id-PDjCZO,70,56,2.0,11.37,0.0,5,,130.0
sdv-id-UuwONK,71,48,151.0,15.98,0.0,2,,125.0
sdv-id-FFnahe,35,8,21.0,47.96,0.0,1,,70.0
sdv-id-HeSAWs,37,43,23.0,23.52,0.0,2,,69.0
sdv-id-ekhIpj,35,34,123.0,5.79,0.0,2,,70.0
sdv-id-zzpsAL,81,56,1.0,42.27,0.0,5,,
sdv-id-fVhJJe,39,43,65.0,4.51,0.0,2,102.0,84.0
sdv-id-SmBhDb,76,4,11.0,15.48,0.0,2,107.0,120.0
sdv-id-RYbYIh,79,21,32.0,14.33,0.0,2,109.0,95.0
sdv-id-ApOxEd,60,40,137.0,15.29,0.0,2,111.0,127.0
sdv-id-PoHybl,45,40,103.0,25.08,0.0,2,98.0,85.0
sdv-id-vkmKCA,48,4,101.0,63.59,0.0,2,,94.0
sdv-id-sKAyag,44,51,10.0,36.71,0.0,2,,101.0
sdv-id-PwblWe,58,19,2.0,60.19,0.0,1,,133.0
sdv-id-RNXcmd,78,8,3.0,19.84,0.0,1,,124.0
sdv-id-PLpCjS,39,34,14.0,8.19,0.0,2,,71.0
sdv-id-lMngUM,69,8,2.0,46.14,0.0,2,,130.0
sdv-id-FEtSxZ,45,51,73.0,14.05,0.0,2,,116.0
sdv-id-WSdvUC,73,21,62.0,46.94,0.0,2,,124.0
sdv-id-ljEKlz,56,80,25.0,8.0,0.0,2,,119.0
sdv-id-CitniT,40,19,13.0,7.35,0.0,2,,77.0
sdv-id-RtEjPv,31,43,208.0,15.92,0.0,2,,64.0
sdv-id-QhWpPL,38,43,77.0,47.64,0.0,2,,104.0
sdv-id-fIIAtD,46,8,112.0,8.42,0.0,2,,88.0
sdv-id-OIFRvv,42,80,141.0,5.65,0.0,2,,110.0
sdv-id-KDVCEj,38,7,45.0,44.56,0.0,2,,75.0
sdv-id-KjNYaB,44,19,24.0,13.39,0.0,2,,88.0
sdv-id-AUcAmc,31,34,14.0,3.52,0.0,2,,64.0
sdv-id-nmnIow,79,81,21.0,20.91,0.0,2,,118.0
sdv-id-xflSyC,44,48,8.0,10.8,0.0,5,,90.0
sdv-id-sMGpeU,51,20,175.0,81.0,0.0,2,,93.0
sdv-id-BeqqbX,74,17,149.0,18.73,0.0,2,,121.0
sdv-id-cWCrpH,48,80,38.0,6.14,0.0,2,,112.0
sdv-id-WrAGDu,81,1,1.0,41.37,0.0,2,,
sdv-id-uaxWBz,81,56,0.0,38.51,0.0,0,,
sdv-id-NKIwwf,36,34,56.0,7.08,0.0,2,,81.0
sdv-id-WRWQWC,81,72,1.0,11.42,0.0,2,,
sdv-id-upoVfX,63,7,21.0,3.64,0.0,2,,
