supplier_ids,id,product_code,product_name,standard_cost,list_price,reorder_level,target_level,quantity_per_unit,discontinued,minimum_reorder_quantity,category
1,sdv-id-hdTIWi,NWTCFV-93,Northwind Traders Corn,1.7214,1.2,12,85,100 count per box,0,,Dried Fruit & Nuts
10,sdv-id-LWxTOc,NWTCO-3,Northwind Traders Syrup,45.9039,52.25,10,66,12 - 550 ml bottles,0,,Condiments
4,sdv-id-oPCBdm,NWTDFN-7,Northwind Traders Curry Sauce,11.3125,4.73,10,34,10 boxes x 20 bags,0,10.0,Beverages
1,sdv-id-kUToXT,NWTBGM-86,Northwind Traders Potato Chips,2.6474,8.48,47,200,100 count per box,0,,Dairy products
2;6,sdv-id-nQYOjC,NWTS-66,Northwind Traders Gnocchi,6.0991,6.3,10,119,24 - 12 oz bottles,0,12.0,"Jams, Preserves"
6,sdv-id-eFqBUf,NWTCA-48,Northwind Traders Clam Chowder,1.0264,1.56,10,145,12 - 12 oz jars,0,,"Jams, Preserves"
6,sdv-id-JLSVaU,NWTDFN-51,Northwind Traders Mozzarella,17.3613,17.04,10,190,40 - 100 g pkgs.,0,,Canned Fruit & Vegetables
6,sdv-id-AXDrYT,NWTCFV-89,Northwind Traders Corn,29.1535,19.54,19,195,4 boxes,0,10.0,Grains
6,sdv-id-ASbBSK,NWTCO-77,Northwind Traders Mustard,6.8628,1.25,18,200,,0,13.0,Grains
3;4,sdv-id-gMWeRt,NWTS-66,Northwind Traders Chocolate,1.1966,1.26,10,61,50 - 300 g pkgs.,0,10.0,Soups
10,sdv-id-wKphky,NWTCO-3,Northwind Traders Syrup,60.75,2.94,10,34,48 - 6 oz jars,0,10.0,Beverages
7,sdv-id-bbZJzX,NWTCFV-91,Northwind Traders Peas,1.1113,1.29,10,200,12 - 8 oz jars,0,12.0,"Chips, Snacks"
6,sdv-id-ucLwVD,NWTCO-4,Northwind Traders Cajun Seasoning,13.2507,6.0,10,45,15.25 OZ,0,10.0,Canned Meat
6,sdv-id-NgSozC,NWTCM-95,Northwind Traders Smoked Salmon,9.0841,32.93,14,158,3 boxes,0,13.0,Canned Meat
8,sdv-id-FqhFTW,NWTBGM-21,Northwind Traders Crab Meat,23.2949,31.56,10,35,12 - 8 oz jars,0,10.0,Grains
2,sdv-id-yaJXsz,NWTO-5,Northwind Traders Olive Oil,60.75,57.7,12,61,40 - 100 g pkgs.,0,10.0,Pasta
1,sdv-id-ylYJmB,NWTB-34,Northwind Traders Beer,38.3354,2.12,12,45,100 count per box,0,15.0,Canned Fruit & Vegetables
1,sdv-id-keHzDb,NWTBGM-21,Northwind Traders Beer,39.0729,10.59,39,66,,0,19.0,Oil
4,sdv-id-DpuJEA,NWTCO-4,Northwind Traders Cajun Seasoning,27.2462,4.87,10,84,48 - 6 oz jars,0,11.0,Beverages
5,sdv-id-dDVkzE,NWTCFV-90,Northwind Traders Pineapple,1.0081,1.2,10,64,12 boxes,0,,Canned Fruit & Vegetables
6,sdv-id-zecnOM,NWTDFN-51,Northwind Traders Long Grain Rice,7.4611,9.55,14,159,15.25 OZ,0,16.0,Beverages
7,sdv-id-BrphOu,NWTP-56,Northwind Traders Chocolate,5.8354,1.6,27,182,14.5 OZ,0,18.0,Baked Goods & Mixes
10,sdv-id-udvKGk,NWTCFV-17,Northwind Traders Scones,9.2514,1.81,10,195,15.25 OZ,0,,Oil
7,sdv-id-RxZdbG,NWTDFN-74,Northwind Traders Ravioli,3.8277,25.77,10,179,24 - 250 g pkgs.,0,,Canned Meat
6,sdv-id-wLUavk,NWTCM-95,Northwind Traders Smoked Salmon,1.0254,1.33,15,175,14.5 OZ,0,,Dried Fruit & Nuts
6,sdv-id-ZdPqDD,NWTDFN-14,Northwind Traders Marmalade,31.3588,8.35,10,66,15.25 OZ,0,12.0,Baked Goods & Mixes
2;6,sdv-id-HVSjAF,NWTS-8,Northwind Traders Curry Sauce,23.895,11.34,21,89,30 gift boxes,0,21.0,Condiments
