id,purchase_order_id,product_id,quantity,unit_cost,date_received,posted_to_inventory,inventory_id
sdv-id-skIXtp,105,41,68.0,39.37,2006-01-22,1,105.0
sdv-id-NDzICn,105,5,75.0,7.93,2006-01-22,0,40.0
sdv-id-TBfxZm,98,20,27.0,20.2,2006-01-22,1,57.0
sdv-id-CtWdVo,109,34,65.0,53.73,2006-01-22,0,47.0
sdv-id-ynVInT,98,74,280.0,8.62,,1,76.0
sdv-id-qgHhkz,95,34,13.0,31.26,2006-01-22,1,40.0
sdv-id-xtQrqL,94,6,169.0,45.93,2006-01-22,1,57.0
sdv-id-JGxVSe,92,52,30.0,20.17,2006-01-22,1,
sdv-id-HAmjmw,90,34,209.0,6.99,2006-01-22,1,78.0
sdv-id-XnFfDi,142,19,112.0,42.3,2006-02-06,0,103.0
sdv-id-lWdSTo,92,19,214.0,3.85,2006-01-22,1,54.0
sdv-id-Ftngrt,146,72,204.0,9.71,,0,48.0
sdv-id-vrsSSP,92,34,64.0,23.23,2006-01-22,1,40.0
sdv-id-hkXYoZ,97,19,2.0,7.59,2006-01-22,0,56.0
sdv-id-tDwjxY,91,5,229.0,4.31,,0,40.0
sdv-id-fllBNU,90,34,2.0,8.18,2006-01-22,0,48.0
sdv-id-WMiGgV,99,34,39.0,19.51,,0,103.0
sdv-id-hoyXnm,108,43,4.0,9.69,2006-01-22,0,102.0
sdv-id-nKyvKy,92,34,180.0,7.24,2006-01-22,1,102.0
sdv-id-ncfUqc,92,4,263.0,10.03,2006-01-22,1,44.0
sdv-id-yReHTj,140,81,81.0,7.24,2006-01-22,1,115.0
sdv-id-bvhLos,105,21,30.0,16.46,2006-01-22,1,39.0
sdv-id-idCSgh,92,4,43.0,12.24,,0,54.0
sdv-id-axbBwC,147,17,80.0,18.63,,0,
sdv-id-svqzFE,142,40,35.0,37.69,2006-01-22,0,76.0
sdv-id-HBByhm,147,8,238.0,9.24,2006-01-27,1,115.0
sdv-id-rapKYA,109,57,242.0,27.94,,0,
sdv-id-kPRlbm,92,41,15.0,9.91,2006-01-22,1,105.0
sdv-id-LmOUJA,91,81,295.0,25.61,,1,
sdv-id-gvyxVX,96,81,200.0,15.77,2006-01-22,1,109.0
sdv-id-GoiPuZ,90,40,113.0,22.09,2006-01-22,1,54.0
sdv-id-bBjJjg,101,7,76.0,29.65,2006-01-22,1,74.0
sdv-id-wdxJaL,99,43,291.0,19.28,2006-01-22,0,60.0
sdv-id-MbFGJF,92,72,295.0,23.28,2006-01-22,1,103.0
sdv-id-jUTQNe,91,56,72.0,3.26,,1,
sdv-id-owaUkZ,92,4,1.0,4.93,2006-01-22,1,44.0
sdv-id-vtCAAj,95,34,146.0,10.91,2006-01-31,1,100.0
sdv-id-XhWszY,92,8,2.0,5.56,2006-01-22,1,42.0
sdv-id-vLxzEJ,147,19,1.0,21.79,2006-01-22,1,53.0
sdv-id-uPgZdf,102,77,176.0,5.59,,0,111.0
sdv-id-oPJJtB,91,51,102.0,4.25,,1,
sdv-id-nbpxRL,147,80,192.0,9.55,,0,
sdv-id-NlBXuA,106,43,143.0,8.85,2006-01-22,1,51.0
sdv-id-iwpTHE,111,6,24.0,20.55,,0,
sdv-id-rxogVo,107,40,71.0,16.1,,1,
sdv-id-UWwnrW,99,19,8.0,16.36,2006-02-06,1,103.0
sdv-id-fURWKy,107,81,294.0,23.91,,1,
sdv-id-XcfxqJ,92,40,72.0,5.77,,1,
sdv-id-CWPHza,92,3,109.0,27.23,,1,
sdv-id-ELzwkZ,91,34,100.0,35.76,,1,
sdv-id-QUJZSl,92,77,261.0,4.24,,1,
sdv-id-YZKBdj,110,1,183.0,22.01,,1,
sdv-id-ZcoHuk,104,66,70.0,6.67,,1,
sdv-id-EzLwNP,92,43,12.0,38.19,,1,
sdv-id-jcnDec,110,80,267.0,10.41,,1,
