id,supplier_id,created_by,submitted_date,creation_date,status_id,shipping_fee,taxes,payment_amount,notes,approved_by,approved_date,submitted_by
sdv-id-RUxGiq,2,,2006-04-19 00:22:24,2006-04-20 23:24:03,2,0.0,0.0,0.0,,2.0,,8
sdv-id-EpCRCG,6,2.0,2006-04-13 10:33:16,2006-04-21 20:36:35,2,0.0,0.0,0.0,,2.0,2006-03-28 03:44:50,3
sdv-id-SedqqF,8,,2006-04-26 17:27:44,2006-04-26 18:33:52,2,0.0,0.0,0.0,,2.0,2006-04-03 23:59:36,2
sdv-id-rzDran,2,3.0,2006-03-26 19:25:50,2006-02-06 10:43:47,1,0.0,0.0,0.0,,2.0,,6
sdv-id-ICdkcp,1,3.0,2006-03-11 07:19:16,2006-02-16 22:29:59,2,0.0,0.0,0.0,,2.0,,7
sdv-id-OyUNCJ,1,5.0,2006-03-12 07:51:12,2006-04-23 07:17:27,2,0.0,0.0,0.0,,2.0,2006-04-03 23:48:35,7
sdv-id-ipKKdi,2,2.0,2006-01-20 01:48:29,2006-01-22 07:38:01,2,0.0,0.0,0.0,Purchase generated based on Order #49,2.0,2006-01-22 00:00:00,2
sdv-id-kGVMHV,1,3.0,2006-02-04 19:54:15,2006-01-22 08:47:55,2,0.0,0.0,0.0,Purchase generated based on Order #48,2.0,2006-01-22 00:00:00,6
sdv-id-BiuPeB,2,,2006-04-02 09:02:43,2006-03-19 14:33:05,2,0.0,0.0,0.0,,2.0,2006-03-28 14:12:12,2
sdv-id-ZeSZHS,6,4.0,2006-02-06 06:04:27,2006-03-03 22:51:24,2,0.0,0.0,0.0,,2.0,2006-04-03 20:43:14,3
sdv-id-Dvorey,6,4.0,2006-04-20 07:23:10,2006-03-06 21:48:25,2,0.0,0.0,0.0,,,2006-01-22 00:00:00,2
sdv-id-dWyENC,5,,2006-02-18 14:31:06,2006-01-22 06:09:28,2,0.0,0.0,0.0,,2.0,2006-01-22 00:00:00,8
sdv-id-RFUeGQ,8,7.0,2006-03-23 16:32:34,2006-03-13 14:09:45,2,0.0,0.0,0.0,Purchase generated based on Order #48,2.0,2006-02-01 17:47:07,9
sdv-id-YOKvzp,6,2.0,2006-01-23 13:54:02,2006-01-22 08:26:37,2,0.0,0.0,0.0,,2.0,2006-02-14 03:19:14,2
sdv-id-zxXgoS,1,4.0,2006-03-23 10:21:31,2006-04-25 11:26:34,2,0.0,0.0,0.0,Purchase generated based on Order #47,2.0,2006-04-03 23:57:08,6
sdv-id-YHQTyo,8,7.0,2006-04-26 18:29:37,2006-04-26 18:33:52,2,0.0,0.0,0.0,Purchase generated based on Order #47,2.0,2006-04-03 23:48:28,7
sdv-id-bAYHop,2,2.0,2006-01-23 01:27:03,2006-01-22 19:04:43,2,0.0,0.0,0.0,Purchase generated based on Order #41,2.0,2006-01-22 00:00:00,3
sdv-id-ZKAzce,1,5.0,2006-04-26 12:11:20,2006-04-26 18:33:52,2,0.0,0.0,0.0,Purchase generated based on Order #46,2.0,2006-04-03 23:59:58,5
sdv-id-CKIpFk,5,2.0,2006-04-08 14:56:20,2006-04-23 17:11:16,2,0.0,0.0,0.0,Purchase generated based on Order #48,2.0,2006-03-29 06:16:14,3
sdv-id-WtYNpV,1,,2006-02-14 15:51:22,2006-03-05 19:10:14,2,0.0,0.0,0.0,Purchase generated based on Order #33,,2006-03-09 06:06:35,8
sdv-id-rxUmUO,2,4.0,2006-01-29 16:24:18,2006-02-01 17:34:41,2,0.0,0.0,0.0,Purchase generated based on Order #30,2.0,2006-03-28 06:12:17,4
sdv-id-dWzEoz,8,5.0,2006-04-25 18:46:07,2006-04-15 13:07:21,2,0.0,0.0,0.0,,2.0,2006-01-22 00:00:00,6
sdv-id-eqhdGc,8,,2006-04-12 02:38:59,2006-04-23 23:37:43,2,0.0,0.0,0.0,,2.0,2006-04-03 20:49:08,7
sdv-id-stHpAW,8,,2006-04-19 15:06:11,2006-04-24 03:13:36,2,0.0,0.0,0.0,,2.0,2006-03-16 15:43:11,5
sdv-id-jVHKBj,6,,2006-04-17 09:23:07,2006-04-26 18:33:52,2,0.0,0.0,0.0,,2.0,,9
sdv-id-BUcqnr,2,2.0,2006-04-17 04:43:13,2006-04-11 02:15:32,2,0.0,0.0,0.0,,,,2
sdv-id-heWvlf,3,3.0,2006-04-04 02:45:21,2006-04-04 14:57:17,2,0.0,0.0,0.0,,,,3
sdv-id-PmpSky,1,4.0,2006-03-04 12:08:31,2006-01-22 14:47:29,1,0.0,0.0,0.0,,,,9
