id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id
sdv-id-rTKRMt,sdv-id-ZAaRyC,2006-03-25 14:03:50,2006-04-02 12:51:04,sdv-id-dDVkzE,8,,
sdv-id-TTFzpQ,sdv-id-lpMikl,2006-03-22 17:29:46,2006-03-22 16:02:28,sdv-id-udvKGk,30,,
sdv-id-nqKeXH,sdv-id-lpMikl,2006-03-26 00:56:58,2006-04-01 13:06:52,sdv-id-rukOEb,110,,
sdv-id-xgGUmh,sdv-id-OpPLqu,2006-04-01 11:24:10,2006-04-10 14:32:33,sdv-id-wKphky,37,,
sdv-id-IxdrGd,sdv-id-lpMikl,2006-03-25 19:25:25,2006-04-02 14:24:14,sdv-id-ILGfXt,28,,
sdv-id-VqrRdD,sdv-id-OpPLqu,2006-03-24 21:26:08,2006-03-30 18:35:54,sdv-id-BrphOu,95,,
sdv-id-FunBtO,sdv-id-lpMikl,2006-03-23 04:59:35,2006-03-25 16:08:45,sdv-id-Tenrkq,78,,
sdv-id-umeHRj,sdv-id-ZAaRyC,2006-03-22 17:01:18,2006-03-26 21:26:02,sdv-id-HVSjAF,125,,
sdv-id-gUZCML,sdv-id-OpPLqu,2006-03-22 18:04:12,2006-03-23 02:51:16,sdv-id-ZdPqDD,202,,
sdv-id-PgzvLu,sdv-id-ZAaRyC,2006-03-23 06:16:13,2006-03-25 00:45:26,sdv-id-gMWeRt,62,,
sdv-id-UwCoLC,sdv-id-OpPLqu,2006-03-26 02:40:52,2006-04-07 17:02:17,sdv-id-TrdORb,15,,
sdv-id-EPwGxg,sdv-id-OpPLqu,2006-03-27 19:05:22,2006-03-29 07:40:01,sdv-id-gMWeRt,37,,
sdv-id-BHlwQy,sdv-id-lpMikl,2006-03-23 05:52:27,2006-03-29 04:13:15,sdv-id-nQYOjC,204,,
sdv-id-jZjCUY,sdv-id-lpMikl,2006-03-22 23:34:36,2006-03-24 15:41:49,sdv-id-eFqBUf,45,,
sdv-id-RbwONM,sdv-id-lpMikl,2006-03-24 12:08:13,2006-04-06 11:35:15,sdv-id-ZdPqDD,35,,
sdv-id-mSUoov,sdv-id-lpMikl,2006-03-24 10:43:49,2006-04-04 15:28:43,sdv-id-ZSRPMJ,72,,
sdv-id-BElRVo,sdv-id-OpPLqu,2006-03-23 02:47:04,2006-03-25 04:41:41,sdv-id-nQYOjC,2,,
sdv-id-TspKgb,sdv-id-lpMikl,2006-03-22 17:20:52,2006-03-23 02:51:07,sdv-id-yaJXsz,12,,
sdv-id-JAFFyv,sdv-id-lpMikl,2006-03-23 03:59:04,2006-03-27 01:55:14,sdv-id-ApJOZa,6,,
sdv-id-eUxumM,sdv-id-ZAaRyC,2006-03-24 08:50:51,2006-03-31 09:15:46,sdv-id-yaJXsz,36,,
sdv-id-RKSgba,sdv-id-ZAaRyC,2006-04-04 03:34:23,2006-04-09 21:10:05,sdv-id-ZdPqDD,38,,
sdv-id-KuGfnV,sdv-id-lpMikl,2006-03-23 15:11:36,2006-04-02 17:19:08,sdv-id-ApJOZa,85,,
sdv-id-TBsvGR,sdv-id-lpMikl,2006-03-23 19:32:24,2006-03-28 05:56:48,sdv-id-eFqBUf,21,,
sdv-id-tEZKuc,sdv-id-ZAaRyC,2006-03-22 20:17:37,2006-03-27 20:39:52,sdv-id-ILGfXt,39,,
sdv-id-kOzbVu,sdv-id-lpMikl,2006-03-22 16:51:40,2006-03-22 16:02:28,sdv-id-rukOEb,292,,
sdv-id-dqFlfv,sdv-id-OpPLqu,2006-04-05 04:22:11,2006-04-19 02:16:51,sdv-id-ylYJmB,5,,
sdv-id-nAgACb,sdv-id-mLSSrs,2006-03-23 07:42:35,2006-03-22 16:02:28,sdv-id-LWxTOc,201,,
sdv-id-NEtrsG,sdv-id-OpPLqu,2006-03-25 13:03:47,2006-04-01 23:37:18,sdv-id-Tenrkq,35,,
sdv-id-hiYvUt,sdv-id-lpMikl,2006-03-24 15:36:13,2006-04-03 01:35:20,sdv-id-kUToXT,47,,
sdv-id-tOiDiq,sdv-id-ZAaRyC,2006-03-25 02:57:59,2006-04-08 23:45:42,sdv-id-hdTIWi,70,,
sdv-id-uTTyZH,sdv-id-OpPLqu,2006-03-22 22:02:51,2006-04-01 21:11:09,sdv-id-BrphOu,37,,
sdv-id-vQAXDd,sdv-id-OpPLqu,2006-03-23 01:08:01,2006-03-23 18:40:18,sdv-id-wLUavk,4,,
sdv-id-YucHDS,sdv-id-mLSSrs,2006-03-22 22:36:10,2006-03-22 16:02:28,sdv-id-nQYOjC,27,,
sdv-id-bmTWyX,sdv-id-OpPLqu,2006-03-24 23:27:14,2006-04-05 04:18:45,sdv-id-zecnOM,18,,
sdv-id-CutRig,sdv-id-ZAaRyC,2006-03-25 03:31:25,2006-03-30 17:57:20,sdv-id-ZjPBrf,25,,
sdv-id-UWiPMC,sdv-id-mLSSrs,2006-03-22 21:15:58,2006-03-26 12:58:57,sdv-id-bFBNOf,173,,
sdv-id-dudFBm,sdv-id-ZAaRyC,2006-03-24 17:56:14,2006-04-01 03:04:52,sdv-id-bbZJzX,7,,
sdv-id-pXaycY,sdv-id-lpMikl,2006-03-23 12:07:30,2006-03-29 03:23:38,sdv-id-HVSjAF,141,,
sdv-id-SryqWG,sdv-id-OpPLqu,2006-03-23 07:54:20,2006-03-30 13:07:00,sdv-id-UTtCpw,6,,
sdv-id-fTHApJ,sdv-id-lpMikl,2006-03-24 04:24:13,2006-03-27 22:15:56,sdv-id-dDVkzE,145,,
sdv-id-VswjQE,sdv-id-mLSSrs,2006-03-22 21:58:33,2006-03-24 15:43:37,sdv-id-dDVkzE,31,,
sdv-id-nUsIiZ,sdv-id-ZAaRyC,2006-03-22 16:03:15,2006-03-22 16:02:28,sdv-id-HVSjAF,53,,
sdv-id-cMKtYX,sdv-id-mLSSrs,2006-03-22 17:12:07,2006-03-22 16:02:28,sdv-id-wKphky,17,,
sdv-id-NTvdAa,sdv-id-lpMikl,2006-03-22 18:07:51,2006-03-29 15:42:55,sdv-id-wLUavk,55,,
sdv-id-CWyXmJ,sdv-id-OpPLqu,2006-03-22 16:15:32,2006-03-22 16:02:28,sdv-id-gMWeRt,149,,
sdv-id-HhLHaT,sdv-id-ZAaRyC,2006-03-22 17:10:20,2006-03-22 16:02:28,sdv-id-AXDrYT,14,,
sdv-id-oUnMNP,sdv-id-mLSSrs,2006-03-22 22:07:20,2006-03-25 00:18:14,sdv-id-nQYOjC,38,,
sdv-id-KlRFGL,sdv-id-OpPLqu,2006-03-22 21:15:58,2006-03-23 11:14:58,sdv-id-kUToXT,300,,
sdv-id-yKpPrL,sdv-id-mLSSrs,2006-03-25 07:48:39,2006-04-01 06:40:47,sdv-id-ILGfXt,34,,
sdv-id-LJAoli,sdv-id-ZAaRyC,2006-03-27 02:14:30,2006-04-03 21:31:29,sdv-id-zecnOM,98,,
sdv-id-pwgCHj,sdv-id-lpMikl,2006-03-22 17:42:45,2006-03-24 09:15:13,sdv-id-wLUavk,1,,
sdv-id-jJQTvC,sdv-id-OpPLqu,2006-03-23 10:03:45,2006-03-31 20:22:51,sdv-id-ZjPBrf,30,,
sdv-id-zJpNmv,sdv-id-OpPLqu,2006-03-24 16:59:15,2006-03-28 07:24:41,sdv-id-hdTIWi,172,,
sdv-id-sjmOUg,sdv-id-mLSSrs,2006-03-24 06:53:48,2006-03-31 23:11:48,sdv-id-HVSjAF,19,,
sdv-id-JcJwKH,sdv-id-mLSSrs,2006-04-10 05:12:31,2006-04-17 03:03:40,sdv-id-bFBNOf,3,,
sdv-id-zEkEjR,sdv-id-OpPLqu,2006-03-22 16:40:45,2006-03-22 16:02:28,sdv-id-bbZJzX,247,,
sdv-id-ZovFnJ,sdv-id-mLSSrs,2006-04-03 08:36:45,2006-04-07 14:46:21,sdv-id-gMWeRt,47,,
sdv-id-ffHDyY,sdv-id-lpMikl,2006-03-24 04:18:13,2006-03-27 11:33:05,sdv-id-dDVkzE,234,,
sdv-id-VOrzLl,sdv-id-mLSSrs,2006-04-17 10:36:48,2006-04-20 04:48:03,sdv-id-yaJXsz,28,,
sdv-id-GcLYzT,sdv-id-lpMikl,2006-03-27 11:45:38,2006-04-01 17:15:35,sdv-id-zecnOM,5,,
sdv-id-wTXLDO,sdv-id-ZAaRyC,2006-03-22 23:22:54,2006-03-27 22:56:55,sdv-id-NgSozC,114,,
sdv-id-LFoMCI,sdv-id-mLSSrs,2006-03-22 16:50:05,2006-03-24 07:46:46,sdv-id-HVSjAF,94,,
sdv-id-YkzeUm,sdv-id-ZAaRyC,2006-03-26 22:06:42,2006-04-05 00:40:28,sdv-id-YDpccy,17,,
sdv-id-fIzKIn,sdv-id-ZAaRyC,2006-03-22 16:03:34,2006-03-22 16:02:28,sdv-id-nQYOjC,70,,
sdv-id-hcSKMs,sdv-id-mLSSrs,2006-04-04 08:24:53,2006-04-09 14:08:24,sdv-id-bFBNOf,44,,
sdv-id-WJaBWW,sdv-id-OpPLqu,2006-03-22 21:41:09,2006-03-25 15:57:17,sdv-id-zecnOM,48,,
sdv-id-uHlXWh,sdv-id-lpMikl,2006-03-24 13:51:50,2006-04-01 07:45:38,sdv-id-kiyMss,130,,
sdv-id-ouDPPd,sdv-id-lpMikl,2006-03-25 03:17:42,2006-04-01 02:55:49,sdv-id-DjWcWV,86,,
sdv-id-shFKxi,sdv-id-ZAaRyC,2006-04-02 11:19:49,2006-04-11 02:38:12,sdv-id-hdTIWi,8,,
sdv-id-SbNOrF,sdv-id-lpMikl,2006-03-22 23:56:20,2006-03-27 04:02:20,sdv-id-ZRJFBM,21,,
sdv-id-vsDADb,sdv-id-ZAaRyC,2006-03-26 20:30:05,2006-04-05 20:55:47,sdv-id-dDVkzE,4,,
sdv-id-BaKRVd,sdv-id-mLSSrs,2006-03-22 22:39:28,2006-03-27 21:44:27,sdv-id-keHzDb,110,,
sdv-id-ajhWRj,sdv-id-OpPLqu,2006-03-22 18:03:58,2006-03-27 14:18:03,sdv-id-rukOEb,51,,
sdv-id-jlhJAB,sdv-id-lpMikl,2006-03-22 21:49:41,2006-03-28 16:47:57,sdv-id-wLUavk,104,,
sdv-id-NfApgX,sdv-id-mLSSrs,2006-03-28 05:14:57,2006-04-02 01:18:53,sdv-id-UTtCpw,4,,
sdv-id-eGTiFG,sdv-id-mLSSrs,2006-03-22 16:05:19,2006-03-22 16:02:28,sdv-id-HVSjAF,51,,
sdv-id-ggLLmw,sdv-id-OpPLqu,2006-03-24 15:14:21,2006-04-03 06:11:04,sdv-id-ucLwVD,21,,
sdv-id-FwItBF,sdv-id-mLSSrs,2006-03-22 18:40:07,2006-03-22 16:02:28,sdv-id-RxZdbG,144,,
sdv-id-dUoOrG,sdv-id-mLSSrs,2006-03-23 20:05:25,2006-03-30 12:28:08,sdv-id-ZSRPMJ,161,,
sdv-id-RpTZpA,sdv-id-lpMikl,2006-03-25 16:12:32,2006-03-31 21:00:24,sdv-id-YFwDje,23,,
sdv-id-GmvGaI,sdv-id-ZAaRyC,2006-03-24 12:10:44,2006-03-28 10:43:44,sdv-id-bbZJzX,39,,
sdv-id-PgSyNn,sdv-id-OpPLqu,2006-03-22 22:46:26,2006-03-27 09:07:20,sdv-id-ZSRPMJ,7,,
sdv-id-cUGVMo,sdv-id-lpMikl,2006-03-22 16:06:46,2006-03-22 16:02:28,sdv-id-ApJOZa,158,,
sdv-id-MxSIQA,sdv-id-OpPLqu,2006-03-22 22:58:47,2006-03-28 01:54:52,sdv-id-keHzDb,4,,
sdv-id-aKeJhV,sdv-id-lpMikl,2006-03-23 23:21:43,2006-03-29 15:57:10,sdv-id-oPCBdm,57,,
sdv-id-Lnkkkj,sdv-id-lpMikl,2006-03-22 17:18:34,2006-03-23 09:53:26,sdv-id-zecnOM,10,,
sdv-id-AXVPOA,sdv-id-OpPLqu,2006-03-24 21:01:59,2006-03-27 22:12:54,sdv-id-rukOEb,72,,
sdv-id-IbXpiX,sdv-id-ZAaRyC,2006-03-24 01:11:03,2006-03-28 03:02:30,sdv-id-kiyMss,8,,
sdv-id-aVdGuJ,sdv-id-mLSSrs,2006-03-28 19:48:42,2006-04-10 20:09:08,sdv-id-LWxTOc,120,,
sdv-id-SvBnBn,sdv-id-OpPLqu,2006-03-23 00:48:57,2006-03-28 05:06:48,sdv-id-ILGfXt,66,,
sdv-id-INGQPU,sdv-id-lpMikl,2006-03-23 23:22:16,2006-03-24 11:40:39,sdv-id-HVSjAF,50,,
sdv-id-GEPsxi,sdv-id-mLSSrs,2006-03-22 23:42:53,2006-03-28 21:21:45,sdv-id-RxZdbG,107,,
sdv-id-SGOwiz,sdv-id-mLSSrs,2006-03-22 17:58:23,2006-03-23 17:51:02,sdv-id-nQYOjC,41,,
sdv-id-SRHXam,sdv-id-ZAaRyC,2006-03-22 16:05:47,2006-03-22 16:49:45,sdv-id-TGIscL,45,,
sdv-id-AbfRKv,sdv-id-OpPLqu,2006-03-29 02:25:35,2006-04-03 10:30:54,sdv-id-hcazJw,23,,
sdv-id-ymfUKv,sdv-id-ZAaRyC,2006-03-22 16:17:04,2006-03-22 16:02:28,sdv-id-DpuJEA,206,,
sdv-id-XWDRKZ,sdv-id-lpMikl,2006-03-23 00:59:28,2006-03-22 16:02:28,sdv-id-RxZdbG,70,,
sdv-id-bhkxgp,sdv-id-mLSSrs,2006-03-25 00:55:39,2006-04-07 21:46:57,sdv-id-gMWeRt,37,,
sdv-id-mwaxQh,sdv-id-ZAaRyC,2006-03-23 23:24:08,2006-03-30 01:38:03,sdv-id-zecnOM,50,,
sdv-id-zzMKFJ,sdv-id-mLSSrs,2006-03-27 15:04:47,2006-04-03 04:49:32,sdv-id-gMWeRt,76,,
sdv-id-aNqCfY,sdv-id-lpMikl,2006-03-22 18:02:23,2006-03-22 16:02:28,sdv-id-wKphky,76,,
sdv-id-YOqeym,sdv-id-lpMikl,2006-03-22 18:20:27,2006-03-23 13:52:48,sdv-id-kiyMss,65,,
